API Number,Operator,Well Name,Well Number,Northing,Easting,Well Status,Class,Total Depth,Datum Elevation,Datum Type,State,County,Country,Field,Basin,Lease Name,Ground Elevation,Plugback Depth,Spud Date,Completion Date,Common Well Name,Legal Survey Type,Location,Geog. Proj.
490251090200,U.S. DOE,NPR-3,62-TpX-11,955352,807354.2,PA,,6236,5218,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5208,,1982-11-18,,62-TPX-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 ,"All Coordinates in Wyoming East Central State Plane, NAD 2566"
490251090300,U.S. DOE,NPR-3,13-A-10,954497.7,799155.4,DR,I,3450,5305,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5295,3474,1970-06-28,6/10/70,13-A-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2567"
490251090400,U.S. DOE,NPR-3,34-StX-3,959275.4,800485.4,PA,O,2123,5189,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,16991.47,,1982-04-13,,34-STX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2568"
490251090600,U.S. DOE,NPR-3,75-AX-28,968535.1,797548.9,PA,O,4003,5068,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5058,,1983-04-19,,75-AX-28,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 28 ,"All Coordinates in Wyoming East Central State Plane, NAD 2569"
490251090900,U.S. DOE,NPR-3,73-1-SX-10,954546.1,802891.2,PR,O,1412,5182,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5172,406,1982-08-20,,73-1-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2570"
490251091000,U.S. DOE,NPR-3,25-1-StX-10,952696.7,799824.4,PR,O,2280,5243,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5233,2280,1982-09-17,9/22/82,25-1-STX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2571"
490251091100,U.S. DOE,NPR-3,48-ShX-2,956429,806573.1,PA,,2927,5192,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5182,827,1982-09-03,9/10/82,48-SHX-2,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 2 ,"All Coordinates in Wyoming East Central State Plane, NAD 2572"
490251091200,U.S. DOE,NPR-3,73-6-SX-10,954412.9,802871.6,PR,O,2267,5187,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5177,450,1982-07-07,,73-6-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2573"
490251091300,U.S. DOE,NPR-3,25-StX-10,952840.7,799914.8,PA,O,2280,5243,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5233,,1982-04-19,,25-STX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2574"
490251091400,U.S. DOE,NPR-3,85-FX-33,963636,798452.9,PA,O,2500,5120,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5110,2420,1982-03-23,3/28/82,85-FX-33,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 33 ,"All Coordinates in Wyoming East Central State Plane, NAD 2575"
490251091600,U.S. DOE,NPR-3,11-AX-11,955858.1,804122.8,DR,O,5813,5160,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5150,2005,1982-10-08,,11-AX-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 ,"All Coordinates in Wyoming East Central State Plane, NAD 2576"
490251091700,U.S. DOE,NPR-3,25-LX-11,952903.5,805200.5,PA,O,5890,5196,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5186,,1983-01-12,,25-LX-11,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 ,"All Coordinates in Wyoming East Central State Plane, NAD 2577"
490251091900,U.S. DOE,NPR-3,28-AX-34,961927.4,799590.4,PR,O,4397,5184,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5174,,1983-02-13,,28-AX-34,CONGRESS,TWP: 39  N - Range: 78 W - Sec. 34 ,"All Coordinates in Wyoming East Central State Plane, NAD 2578"
490251092000,U.S. DOE,NPR-3,41-AX-3,961020.7,800882.1,PR,O,5708,5157,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5147.5,,1983-05-15,,41-AX-3,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 3  ,"All Coordinates in Wyoming East Central State Plane, NAD 2579"
490251092200,U.S. DOE,NPR-3,48-TX-34,961381.2,800930.1,PR,O,3442,5182,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5172,,1983-05-03,5/6/83,48-TX-34,CONGRESS,TWP: 39 N - Range: 78 W - Sec. 34,"All Coordinates in Wyoming East Central State Plane, NAD 2580"
490251092300,U.S. DOE,NPR-3,45-1-ShX-3,958556.3,800780.9,PR,O,2325,5199,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5189,,1982-06-06,,45-1-SHX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2581"
490251092500,U.S. DOE,NPR-3,56-LX-3,958214,801860.9,PR,O,5640,5181,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5171,,1978-01-20,,56-LX-3,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 3  ,"All Coordinates in Wyoming East Central State Plane, NAD 2582"
490251092700,U.S. DOE,NPR-3,51-StX-26,940043.2,807311.3,SI,O,3775,5455,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5444,,1983-08-10,,51-STX-26,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 26 ,"All Coordinates in Wyoming East Central State Plane, NAD 2583"
490251092800,U.S. DOE,NPR-3,64-StX-3,959372.1,802181.3,PR,O,2281,5165,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5155,,1983-08-04,,64-STX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2584"
490251093000,U.S. DOE,NPR-3,65-25-1-SX-3-FI,958382.6,802098.7,PA,,531,5171,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5162,426,1982-07-02,,65-25-1-SX-3-FI,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2585"
490251093100,U.S. DOE,NPR-3,76-1-SX-3,958068.9,802916.7,PA,O,492,5157,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5147,,1983-07-30,,76-1-SX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2586"
490251093300,U.S. DOE,NPR-3,37-22-1-SX-11-WI,952183,805548.6,PA,,730,5201,GL,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5191,,1982-08-12,,37-22-1-SX-11-WI,CONGRESS,TWP: 38  N - Range: 78 W - Sec. 11 ,"All Coordinates in Wyoming East Central State Plane, NAD 2587"
490251093700,U.S. DOE,NPR-3,53-LX-3,959461,801652.8,PA,O,4117,5176,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5204,,1983-09-07,,53-LX-3,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 3 ,"All Coordinates in Wyoming East Central State Plane, NAD 2588"
490251093900,U.S. DOE,NPR-3,72-DX-10,955296.2,803072.1,PR,O,4139,5182,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5172,,1983-07-17,,72-DX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2589"
490251094000,U.S. DOE,NPR-3,74-1-SX-10,953908.2,802693.6,PR,O,480,5193,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5183,,1983-09-30,,74-1-SX-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2590"
490251094100,U.S. DOE,NPR-3,83-SSt-10,954836.7,803809,PA,,223,5166,KB,Wyoming,Natrona,U.S.A.,Teapot Dome,Powder River,Naval Petroleum Reserve No. 3,5166,223,1983-10-13,10/17/83,83-SST-10,CONGRESS,TWP: 38 N - Range: 78 W - Sec. 10,"All Coordinates in Wyoming East Central State Plane, NAD 2591"
