WLBR_ID,Company,Field_Name,Lat,Lon,Yr,OEB,Oil_BBLS,Gas_OEB,Gas_KCF,Days_Tot,Water_Tot,FM AGE,Formation,Oil_Gravity,,,,,,
2500244,FDL OPERATING LLC,SALT CREEK,43.397065,-106.318893,2000,0,0,0,0,990,0,Cret. Upr,WALL CREEK-2,,,,,,,
2500246,FDL OPERATING LLC,SALT CREEK,43.385000,-106.329400,2000,2115,1982,133,797,366,282620,Cret. Upr,WALL CREEK-2,,,,,,,
2500250,FDL OPERATING LLC,SALT CREEK,43.385184,-106.308205,2000,2685,2516,169,1013,366,97020,Cret. Upr,WALL CREEK,,,,,,,
2500251,FDL OPERATING LLC,SALT CREEK,43.386600,-106.310100,2000,1119,1049,70,421,366,56645,Cret. Upr,WALL CREEK,,,,,,,
2500253,FDL OPERATING LLC,SALT CREEK,43.390000,-106.309750,2000,1467,1375,92,550,366,123075,Cret. Upr,WALL CREEK-2,,,,,,,
2500254,FDL OPERATING LLC,SALT CREEK,43.397257,-106.289460,2000,1395,1307,88,528,366,117955,Cret. Upr,WALL CREEK,,,,,,,
2504582,IRON CREEK PROPERTIES INC,IRON CREEK,42.758644,-106.636488,2000,2,0,2,11,435,0,Cret. Lwr,MUDDY,,,,,,,
2505001,CITATION OIL & GAS CORPORATION,BOONE DOME,43.004393,-107.001272,2000,11397,13,11384,68304,245,0,Cret. Upr,FRONTIER,,,,,,,
2505022,FDL OPERATING LLC,SALT CREEK,43.428226,-106.253043,2000,1607,1533,74,441,366,291255,Cret. Upr,WALL CREEK-2,,,,,,,
2505028,FDL OPERATING LLC,SALT CREEK,43.388050,-106.252550,2000,1761,1611,150,901,366,307451,Cret. Upr,WALL CREEK-2,,,,,,,
2505036,FDL OPERATING LLC,SALT CREEK,43.441797,-106.312016,2000,2428,2281,147,883,366,321159,Cret. Upr,WALL CREEK-2,,,,,,,
2505047,FDL OPERATING LLC,SALT CREEK,43.424917,-106.311563,2000,1474,1385,89,534,366,66773,Cret. Upr,WALL CREEK-2,,,,,,,
2505066,FDL OPERATING LLC,SALT CREEK,43.416356,-106.327893,2000,75,70,5,29,214,0,Cret. Upr,WALL CREEK-2,,,,,,,
2505067,FDL OPERATING LLC,SALT CREEK,43.416321,-106.329463,2000,1784,1676,108,650,366,44119,Cret. Upr,WALL CREEK-2,,,,,,,
2505073,FDL OPERATING LLC,SALT CREEK,43.416410,-106.329564,2000,905,850,55,330,366,50046,Cret. Upr,WALL CREEK-2,,,,,,,
2505075,FDL OPERATING LLC,SALT CREEK,43.413932,-106.329510,2000,971,912,59,353,366,65085,Cret. Upr,WALL CREEK-2,,,,,,,
2505076,FDL OPERATING LLC,SALT CREEK,43.413962,-106.327899,2000,161,152,9,56,366,39215,Cret. Upr,WALL CREEK-2,,,,,,,
2505090,FDL OPERATING LLC,SALT CREEK,43.427367,-106.311671,2000,3028,2844,184,1103,366,137368,Cret. Upr,WALL CREEK-2,,,,,,,
2505095,FDL OPERATING LLC,SALT CREEK,43.402184,-106.289677,2000,1548,1451,97,583,366,48164,Cret. Upr,WALL CREEK,,,,,,,
2505100,FDL OPERATING LLC,SALT CREEK,43.401047,-106.288543,2000,2325,2179,146,877,366,437686,Cret. Upr,WALL CREEK-2,,,,,,,
2505106,FDL OPERATING LLC,SALT CREEK,43.412913,-106.311733,2000,1295,1217,78,467,366,85886,Cret. Upr,WALL CREEK-2,,,,,,,
2505113,FDL OPERATING LLC,SALT CREEK,43.411661,-106.311113,2000,1820,1710,110,661,366,111465,Cret. Upr,WALL CREEK-2,,,,,,,
2505150,FDL OPERATING LLC,SALT CREEK,43.398525,-106.309841,2000,2311,2166,145,872,366,59467,Cret. Upr,WALL CREEK,,,,,,,
2505157,FDL OPERATING LLC,SALT CREEK,43.385663,-106.307079,2000,18986,17794,1192,7154,366,2091690,Jurassic,SUNDANCE-3,,,,,,,
2505160,FDL OPERATING LLC,SALT CREEK,43.396139,-106.306587,2000,1773,1662,111,665,366,98297,Cret. Upr,WALL CREEK-2,,,,,,,
2505163,FDL OPERATING LLC,SALT CREEK,43.398190,-106.294390,2000,2921,2733,188,1128,983,0,Cret. Upr,MOWRY,,,,,,,
2505166,FDL OPERATING LLC,SALT CREEK,43.396538,-106.294644,2000,5404,5064,340,2038,366,276129,Cret. Upr,WALL CREEK-2,,,,,,,
2505171,FDL OPERATING LLC,SALT CREEK,43.392636,-106.287527,2000,2740,2569,171,1028,366,117962,Cret. Upr,WALL CREEK,,,,,,,
2505174,FDL OPERATING LLC,SALT CREEK,43.396257,-106.286906,2000,556,521,35,208,366,76017,Cret. Upr,WALL CREEK-2,,,,,,,
2505319,E & B NATURAL RESOURCES MANAGEMENT,GOVERNMENT BRIDGE,42.639720,-106.681114,2000,1324,1324,0,0,353,0,Cret. Lwr,MUDDY,40.0,,,,,,
2505322,E & B NATURAL RESOURCES MANAGEMENT,GOVERNMENT BRIDGE,42.642132,-106.684887,2000,0,0,0,0,396,0,Cret. Upr,STEELE,,,,,,,
2505332,E & B NATURAL RESOURCES MANAGEMENT,TIPPS,42.646372,-106.724105,2000,1756,1756,0,0,340,0,Cret. Lwr,LAKOTA,40.0,,,,,,
2505368,TRUE OIL LLC,POISON SPRING CREEK,42.680970,-106.925412,2000,3062,2666,396,2376,144,143,Cret. Lwr,MUDDY,39.0,,,,,,
2505427,DENBURY ONSHORE LLC,GRIEVE,42.734767,-107.014723,2000,6264,3880,2384,14302,286,305123,Cret. Lwr,MUDDY,29.3,,,,,,
2505449,IRON CREEK PROPERTIES INC,IRON CREEK,42.745675,-106.628463,2000,7,7,0,0,204,125,Cret. Upr,FRONTIER,14.0,,,,,,
2505450,IRON CREEK PROPERTIES INC,IRON CREEK,42.745794,-106.627256,2000,4,4,0,0,159,60,Cret. Upr,FRONTIER,8.0,,,,,,
2505455,IRON CREEK PROPERTIES INC,IRON CREEK,42.747183,-106.628248,2000,0,0,0,0,99,0,Cret. Upr,FRONTIER,,,,,,,
2505469,IRON CREEK PROPERTIES INC,IRON CREEK,42.755560,-106.635990,2000,44,44,0,0,435,5500,Cret. Lwr,MUDDY,,,,,,,
2505472,IRON CREEK PROPERTIES INC,IRON CREEK,42.756590,-106.634810,2000,44,44,0,0,435,2750,Cret. Lwr,MUDDY,,,,,,,
